n 200, BTC size 200
0.000000, 6.024879e-03
0.000000, 6.033775e-03
0.000000, 6.042679e-03
0.000000, 6.051591e-03
0.000000, 6.060510e-03
0.000000, 6.069437e-03
0.000000, 6.078369e-03
0.000000, 6.087308e-03
0.000000, 6.096252e-03
0.000000, 6.105201e-03
0.000000, 6.114154e-03
0.000000, 6.123112e-03
0.000000, 6.132073e-03
0.000000, 6.141037e-03
0.000000, 6.150003e-03
0.000000, 6.158972e-03
0.000000, 6.167942e-03
0.000000, 6.176913e-03
0.000000, 6.185885e-03
0.000000, 6.194857e-03
0.000000, 6.203829e-03
0.000000, 6.212800e-03
0.000000, 6.221769e-03
0.000000, 6.230737e-03
0.000000, 6.239703e-03
0.000000, 6.248665e-03
0.000000, 6.257624e-03
0.000000, 6.266580e-03
0.000000, 6.275531e-03
0.000000, 6.284478e-03
0.000000, 6.293419e-03
0.000000, 6.302354e-03
0.000000, 6.311284e-03
0.000000, 6.320206e-03
0.000000, 6.329122e-03
0.000000, 6.338030e-03
0.000000, 6.346930e-03
0.000000, 6.355821e-03
0.000000, 6.364704e-03
0.000000, 6.373576e-03
0.000000, 6.382439e-03
0.000000, 6.391292e-03
0.000000, 6.400133e-03
0.000000, 6.408963e-03
0.000000, 6.417782e-03
0.000000, 6.426588e-03
0.000000, 6.435381e-03
0.000000, 6.444161e-03
0.000000, 6.452928e-03
0.000000, 6.461681e-03
0.000000, 6.470419e-03
0.000000, 6.479142e-03
0.000000, 6.487850e-03
0.000000, 6.496542e-03
0.000000, 6.505218e-03
0.000000, 6.513877e-03
0.000000, 6.522520e-03
0.000000, 6.531144e-03
0.000000, 6.539751e-03
0.000000, 6.548340e-03
0.000000, 6.556910e-03
0.000000, 6.565461e-03
0.000000, 6.573992e-03
0.000000, 6.582504e-03
0.000000, 6.590995e-03
0.000000, 6.599465e-03
0.000000, 6.607915e-03
0.000000, 6.616343e-03
0.000000, 6.624749e-03
0.000000, 6.633134e-03
0.000000, 6.641495e-03
0.000000, 6.649834e-03
0.000000, 6.658150e-03
0.000000, 6.666442e-03
0.000000, 6.674710e-03
0.000000, 6.682954e-03
0.000000, 6.691174e-03
0.000000, 6.699368e-03
0.000000, 6.707537e-03
0.000000, 6.715681e-03
0.000000, 6.723799e-03
0.000000, 6.731891e-03
0.000000, 6.739956e-03
0.000000, 6.747994e-03
0.000000, 6.756005e-03
0.000000, 6.763989e-03
0.000000, 6.771946e-03
0.000000, 6.779874e-03
0.000000, 6.787774e-03
0.000000, 6.795646e-03
0.000000, 6.803489e-03
0.000000, 6.811303e-03
0.000000, 6.819087e-03
0.000000, 6.826843e-03
0.000000, 6.834568e-03
0.000000, 6.842263e-03
0.000000, 6.849929e-03
0.000000, 6.857563e-03
0.000000, 6.865168e-03
0.000000, 6.872741e-03
0.000000, 6.880283e-03
0.000000, 6.887794e-03
0.000000, 6.895273e-03
0.000000, 6.902721e-03
0.000000, 6.910136e-03
0.000000, 6.917520e-03
0.000000, 6.924871e-03
0.000000, 6.932190e-03
0.000000, 6.939476e-03
0.000000, 6.946730e-03
0.000000, 6.953951e-03
0.000000, 6.961138e-03
0.000000, 6.968292e-03
0.000000, 6.975413e-03
0.000000, 6.982501e-03
0.000000, 6.989554e-03
0.000000, 6.996574e-03
0.000000, 7.003560e-03
0.000000, 7.010512e-03
0.000000, 7.017430e-03
0.000000, 7.024313e-03
0.000000, 7.031162e-03
